ParticipantNumber,TryNumber,Workload,simulationDateTime,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiamet,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiame,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,MarkerX,MarkerY,MarkerScale,MarkerValid,SystemTime,Time,TimeTick,UserData
114,T,Training,D20200305T0747,219426,840.3968,932.0832,0,-114.8672,-47.4624,0.69107,3.97,1,51.9168,-42.4224,0.71932,3.87,1,1086.848,487.0224,1528.559,0.32214,5091,1,1004.6208,598.9536,1,1038.72,429.8112,1,1021.6704,514.3824,1,840.3968,932.0832,17.71546,0.96618,1,1464.6016,899.856,17.80047,0.97491,1,0.44242,0.58132,0.20239,1,7:47:35,1528.881,2.35E+12,
114,T,Training,D20200305T0747,219427,840.3968,932.0832,0,-114.8672,-47.4624,0.69107,3.97,1,51.9168,-42.4224,0.71932,3.82,1,1086.4896,486.288,1528.559,0.32849,5091,1,1001.728,589.4064,1,1099.52,380.8224,1,1050.624,485.1072,1,840.3968,932.0832,17.71546,0.97491,1,1464.7552,899.8848,17.78699,0.98364,1,0.44242,0.58132,0.20239,1,7:47:35,1528.888,2.35E+12,
114,T,Training,D20200305T0747,219428,840.3712,932.0688,0,-121.9072,-50.0976,0.73169,3.92,1,51.8144,-42.2496,0.71773,3.83,1,1085.9776,484.8336,1528.559,0.33667,5091,1,988.0832,558.864,1,1098.24,345.0816,1,1043.1744,451.9728,1,840.3712,932.0688,18.1628,1.00038,1,1464.704,899.7408,17.91243,1.00911,1,0.44233,0.58123,0.20222,1,7:47:35,1528.896,2.35E+12,
114,T,Training,D20200305T0747,219429,840.2432,932.04,0,-121.9072,-50.0976,0.73169,3.98,1,51.8144,-42.2496,0.71773,3.85,1,1084.9792,483.7392,1528.559,0.3418,5091,1,933.2736,486.6768,1,1109.2992,352.872,1,1021.2864,419.7744,1,840.2432,932.04,18.14164,1.02585,1,1464.6784,899.6976,17.94342,1.02585,1,0.44226,0.58111,0.20263,1,7:47:35,1528.901,2.35E+12,
114,T,Training,D20200305T0747,219430,840.2688,932.112,0,-121.9072,-50.0976,0.73169,3.96,1,51.8144,-42.2496,0.71773,3.84,1,1084.7488,481.8096,1528.559,0.34875,5091,1,1020.0832,473.7888,1,1083.4944,305.6832,1,1051.776,389.736,1,840.2688,932.112,18.23117,1.04259,1,1464.5248,899.6544,17.89398,1.04259,1,0.44226,0.58111,0.20263,1,7:47:35,1528.908,2.35E+12,
114,T,Training,D20200305T0747,219431,840.0128,932.256,0,-120.9856,-49.7952,0.7261,3.94,1,50.816,-41.544,0.70583,3.84,1,1084.416,479.5344,1528.559,0.35522,5091,1,1012.0192,453.1536,1,1083.0336,294.5232,1,1047.5264,373.8384,1,840.0128,932.256,17.88414,1.05934,1,1464.5248,899.784,17.84566,1.05061,1,0.4422,0.58105,0.20248,1,7:47:35,1528.914,2.35E+12,
114,T,Training,D20200305T0747,219432,840.064,932.7312,0,-120.9856,-49.7952,0.7261,4.04,1,50.816,-41.544,0.70583,3.92,1,1084.3648,476.7696,1528.559,0.36182,5091,1,992.128,444.7584,1,1101.8752,333,1,1046.9888,388.872,1,840.064,932.7312,18.41403,1.05061,1,1464.2176,900.2304,18.40795,1.04187,1,0.44213,0.58112,0.20297,1,7:47:35,1528.921,2.35E+12,
114,T,Training,D20200305T0747,219433,840.0128,932.7456,0,-120.9856,-49.7952,0.7261,4.04,1,50.816,-41.544,0.70583,3.84,1,1084.2624,475.5024,1528.559,0.36951,5091,1,1074.4832,447.4656,1,1072.9472,403.1712,1,1073.7152,425.3184,1,840.0128,932.7456,18.46038,1.04187,1,1464.2688,900.4176,18.7333,1.03314,1,0.44213,0.58112,0.20297,1,7:47:35,1528.929,2.35E+12,
114,T,Training,D20200305T0747,219434,840.064,932.544,0,-118.0672,-48.7008,0.7078,4.03,1,49.792,-40.9248,0.69539,3.79,1,1084.3648,475.1856,1528.559,0.37573,5091,1,1082.1888,469.6992,1,1074.2272,426.3696,1,1078.1952,448.0272,1,840.064,932.544,18.19235,1.02422,1,1464.3712,900.216,18.55899,1.01549,1,0.44212,0.5813,0.20275,1,7:47:35,1528.935,2.35E+12,
114,T,Training,D20200305T0747,219435,839.68,932.976,0,-118.0672,-48.7008,0.7078,4.03,1,49.792,-40.9248,0.69539,3.8,1,1082.1888,475.0848,1528.559,0.38342,5091,1,1076.8384,454.1472,1,1069.696,423.9504,1,1073.2544,439.056,1,839.68,932.976,18.59292,1.00656,1,1464.1152,900.3168,18.67527,1.00656,1,0.44212,0.5813,0.20275,1,7:47:35,1528.943,2.35E+12,
