Participant Number,Workload,Eyetracker,Event Type,Start time (s),Duration,Amplitude (degrees),X,Y,AOI,Duration (ms),Peak Velocity (degrees/second)
21,Gradual,FOVIO,Fixation,0.0,,N/A,1049.18811,1550.002686,AOI 5: Chat Message Panel,1416.6695,N/A
21,Gradual,FOVIO,Fixation,1.469,,N/A,1142.529785,851.886597,AOI 4: Fuel Leak Bars,83.33349999999999,N/A
21,Gradual,FOVIO,Fixation,1.567,,N/A,1152.542969,747.509277,AOI 3: Video Feeds,183.3337,N/A
21,Gradual,FOVIO,Fixation,1.877,,N/A,1396.37793,952.103088,AOI 4: Fuel Leak Bars,400.00079999999997,N/A
21,Gradual,FOVIO,Fixation,2.2869999999999986,,N/A,1468.251343,878.9213869999999,AOI 4: Fuel Leak Bars,166.66699999999997,N/A
21,Gradual,FOVIO,Fixation,2.464999999999998,,N/A,1484.763672,779.327698,AOI 3: Video Feeds,366.6674,N/A
21,Gradual,FOVIO,Fixation,2.8399999999999976,,N/A,1584.661865,784.6904910000002,AOI 3: Video Feeds,433.33419999999995,N/A
21,Gradual,FOVIO,Fixation,3.378999999999997,,N/A,1400.0977779999996,994.641907,AOI 4: Fuel Leak Bars,133.3336,N/A
21,Gradual,FOVIO,Fixation,3.525999999999996,,N/A,1327.637939,1088.626343,AOI 4: Fuel Leak Bars,233.3338,N/A
21,Gradual,FOVIO,Fixation,3.770999999999996,,N/A,1379.44397,986.508484,AOI 4: Fuel Leak Bars,233.3338,N/A
21,Gradual,FOVIO,Fixation,4.015999999999996,,N/A,1395.161377,887.595215,AOI 4: Fuel Leak Bars,166.66699999999997,N/A
21,Gradual,FOVIO,Fixation,4.243999999999997,,N/A,1247.445068,1087.9997560000004,AOI 4: Fuel Leak Bars,733.3348,N/A
21,Gradual,FOVIO,Fixation,5.011000000000001,,N/A,1219.910889,895.138672,AOI 4: Fuel Leak Bars,100.00019999999999,N/A
21,Gradual,FOVIO,Fixation,5.126000000000001,,N/A,1229.215942,788.950195,AOI 3: Video Feeds,583.3344999999999,N/A
21,Gradual,FOVIO,Fixation,5.715000000000005,,N/A,1189.0859380000004,684.004822,AOI 3: Video Feeds,366.6674,N/A
21,Gradual,FOVIO,Fixation,6.089000000000008,,N/A,1294.8127439999996,638.607117,AOI 3: Video Feeds,100.00019999999999,N/A
21,Gradual,FOVIO,Fixation,6.203000000000008,,N/A,1399.85144,666.180725,AOI 3: Video Feeds,600.0011999999999,N/A
21,Gradual,FOVIO,Fixation,6.856000000000013,,N/A,1157.748047,665.458191,AOI 3: Video Feeds,83.33349999999999,N/A
21,Gradual,FOVIO,Fixation,7.0030000000000125,,N/A,1258.878906,1071.744507,AOI 4: Fuel Leak Bars,333.33399999999995,N/A
21,Gradual,FOVIO,Fixation,7.3950000000000164,,N/A,883.963684,989.052185,AOI 2: Reroute Menu,366.6674,N/A
21,Gradual,FOVIO,Fixation,7.770000000000018,,N/A,782.976074,978.618591,AOI 2: Reroute Menu,100.00019999999999,N/A
21,Gradual,FOVIO,Fixation,7.950000000000018,,N/A,1082.397461,744.81897,AOI 3: Video Feeds,133.3336,N/A
21,Gradual,FOVIO,Fixation,8.097000000000017,,N/A,1181.710449,720.70282,AOI 3: Video Feeds,316.66729999999995,N/A
21,Gradual,FOVIO,Fixation,8.538000000000013,,N/A,1280.638672,743.109924,AOI 3: Video Feeds,616.6678999999999,N/A
21,Gradual,FOVIO,Fixation,9.15800000000001,,N/A,1379.676636,758.251892,AOI 3: Video Feeds,233.3338,N/A
21,Gradual,FOVIO,Fixation,9.435000000000008,,N/A,1196.300659,818.849182,AOI 4: Fuel Leak Bars,116.6669,N/A
21,Gradual,FOVIO,Fixation,9.664000000000003,,N/A,1252.248169,861.5601810000002,AOI 4: Fuel Leak Bars,250.0005,N/A
21,Gradual,FOVIO,Fixation,9.925000000000004,,N/A,1336.6369630000004,805.597473,AOI 3: Video Feeds,1433.3362,N/A
21,Gradual,FOVIO,Fixation,11.47599999999999,,N/A,976.088989,724.885376,AOI 1: Map,133.3336,N/A
21,Gradual,FOVIO,Saccade,11.704999999999988,,2.011625021698286,N/A,N/A,N/A,0.11400000000000077,31.294606917269657
21,Gradual,FOVIO,Fixation,11.867999999999983,,N/A,2096.432861,855.97821,AOI 4: Fuel Leak Bars,150.00029999999998,N/A
21,Gradual,FOVIO,Fixation,12.030999999999983,,N/A,2184.825439,910.919128,AOI 4: Fuel Leak Bars,83.33349999999999,N/A
21,Gradual,FOVIO,Saccade,12.177999999999983,,2.7709351292866473,N/A,N/A,N/A,0.13100000000000023,42.09795881480911
21,Gradual,FOVIO,Fixation,12.324999999999983,,N/A,729.868713,813.514282,AOI 1: Map,216.66709999999998,N/A
21,Gradual,FOVIO,Saccade,12.55399999999998,,2.4658297258436495,N/A,N/A,N/A,0.12999999999999545,37.48512266896695
21,Gradual,FOVIO,Fixation,12.716999999999974,,N/A,2121.160645,993.776123,AOI 4: Fuel Leak Bars,83.33349999999999,N/A
21,Gradual,FOVIO,Fixation,12.863999999999976,,N/A,2305.80835,912.593018,AOI 4: Fuel Leak Bars,83.33349999999999,N/A
21,Gradual,FOVIO,Fixation,12.961999999999973,,N/A,2372.897705,827.288818,AOI 4: Fuel Leak Bars,250.0005,N/A
21,Gradual,FOVIO,Fixation,13.336999999999973,,N/A,1334.679443,499.175507,AOI 3: Video Feeds,133.3336,N/A
21,Gradual,FOVIO,Fixation,13.483999999999973,,N/A,1232.022461,482.299011,AOI 3: Video Feeds,400.00079999999997,N/A
21,Gradual,FOVIO,Fixation,13.973999999999974,,N/A,2245.236816,777.3645019999999,AOI 3: Video Feeds,583.3344999999999,N/A
21,Gradual,FOVIO,Fixation,14.561999999999964,,N/A,2347.088623,781.253784,AOI 3: Video Feeds,166.66699999999997,N/A
21,Gradual,FOVIO,Fixation,14.903999999999964,,N/A,1242.0053710000002,392.958008,AOI 3: Video Feeds,416.66749999999996,N/A
