participantNumber,TrialNumber,WorkloadCondition,SystemDate,SystemTime,MissionTime,TaskType,UAVNumber,MessageTime,MessageFrom,MessageResponseRequested,MessageContent,MessageCorrectAnswer,MessageAnswerAccuracy,MessageResponseTime,FLPlannedStartTime,FLRealStartTime,FLStopSystemTime,FLStopTime,FLResponseTime,FLAccuracy,TDWaypointOrder,TDWaypointLocation,TDTargetPresent,TDTargetSpawnTime,TDFinalInput,TDRespone,TDButtonClickTime,TDResponseTimestamp,TDResponseTime,RRTimePlanProjNFZ,RRTimeProjNFZ,RRTimeofRR,RRFinalInput,RRSuccessfulRR,RRResponseTime,Score,HighestPossibleScore
122,T,Training,03/05/2020,10:23:13.25,0,TargetDetection,13,,,,,,,,,,,,,,0,5,1,,1,FN,,,,,,,,,,-100,50
122,T,Training,03/05/2020,10:23:13.25,0,TargetDetection,12,,,,,,,,,,,,,,0,2,0,,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:13.25,0,TargetDetection,4,,,,,,,,,,,,,,0,7,0,,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:13.25,0,TargetDetection,2,,,,,,,,,,,,,,0,4,0,,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:13.25,0,TargetDetection,10,,,,,,,,,,,,,,0,14,1,,1,FN,,,,,,,,,,-100,50
122,T,Training,03/05/2020,10:23:13.25,0,TargetDetection,6,,,,,,,,,,,,,,0,1,0,,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:13.25,0,TargetDetection,16,,,,,,,,,,,,,,0,15,0,,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:13.38,0.02,ChatMessage,,0.02,HQ,0,[0:00] HQ: Beginning Mission,,,,,,,,,,,,,,,,,,,,,,,,,,
122,T,Training,03/05/2020,10:23:28.37,15.0163,ChatMessage,,15.0163,HQ,1,[0:15] HQ: Detected targets in mission - Respond (Confirm/Deny),Confirm,,,,,,,,,,,,,,,,,,,,,,,,,
122,T,Training,03/05/2020,10:23:32.66,19.30524,ChatMessage,,19.30524,user,,[0:19] You: Confirm,,1,4.288942,,,,,,,,,,,,,,,,,,,,,,30,30
122,T,Training,03/05/2020,10:23:23.49,10.13258,TargetDetection,15,,,,,,,,,,,,,,1,7,0,NA,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:23.49,10.13258,TargetDetection,14,,,,,,,,,,,,,,1,6,0,NA,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:23.49,10.13258,TargetDetection,1,,,,,,,,,,,,,,1,2,0,NA,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:23.49,10.13258,TargetDetection,11,,,,,,,,,,,,,,1,11,0,NA,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:23.49,10.13258,TargetDetection,7,,,,,,,,,,,,,,1,15,0,NA,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:23.49,10.13258,TargetDetection,5,,,,,,,,,,,,,,1,5,1,4,1,FN,,,,,,,,,,-100,50
122,T,Training,03/05/2020,10:23:23.49,10.13258,TargetDetection,3,,,,,,,,,,,,,,1,8,0,NA,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:33.39,20.01597,TargetDetection,11,,,,,,,,,,,,,,2,15,1,4,1,TP,29.97343,9.919333,3.919333,,,,,,,100,100
122,T,Training,03/05/2020,10:23:33.39,20.01597,TargetDetection,7,,,,,,,,,,,,,,2,14,0,NA,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:33.39,20.01597,TargetDetection,2,,,,,,,,,,,,,,2,2,0,NA,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:33.39,20.01597,TargetDetection,3,,,,,,,,,,,,,,2,4,1,6,1,FN,,,,,,,,,,-100,50
122,T,Training,03/05/2020,10:23:33.41,20.05409,TargetDetection,13,,,,,,,,,,,,,,2,10,0,NA,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:33.41,20.05409,TargetDetection,16,,,,,,,,,,,,,,2,10,0,NA,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:33.39,20.01597,TargetDetection,8,,,,,,,,,,,,,,2,6,0,NA,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:43.41,30.05202,TargetDetection,4,,,,,,,,,,,,,,3,10,0,NA,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:43.39,30.01568,TargetDetection,12,,,,,,,,,,,,,,3,9,0,NA,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:43.39,30.01568,TargetDetection,14,,,,,,,,,,,,,,3,8,0,NA,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:43.35,29.99475,TargetDetection,2,,,,,,,,,,,,,,3,1,1,7,1,TP,38.62778,7.522513,4.522513,,,,,,,100,100
122,T,Training,03/05/2020,10:23:43.33,29.97343,TargetDetection,10,,,,,,,,,,,,,,3,4,0,NA,1,TN,,,,,,,,,,50,50
122,T,Training,03/05/2020,10:23:43.35,29.99475,TargetDetection,5,,,,,,,,,,,,,,3,2,0,NA,1,TN,,,,,,,,,,50,50
