Result file for: SPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 9/6/2016 2:14:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response codes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0: No response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1: False Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2: False Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3: User was unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4: Correct positive response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5: Correct negative response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responses:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint#:,0a,2a,20a,25a,29a,30a,31a,36a,41a,46a,53a,57a,59a,63a,65a,68a,71a,75a,83a,87a,,,,,,,,,,,,,,,,,
UAV #1 Responses :,5,2,5,5,5,4,5,4,2,5,4,5,5,4,5,5,5,5,5,5,,,,,,,,,,,,,,,,,
UAV #1 Target Time Stamp :,0,0,0,0,0,5.794,0,7.681,0,0,8.003,0,0,6.314,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
UAV #1 Response Time:,0,0,0,0,0,1.794,0,3.681,0,0,4.003,0,0,2.314,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint#:,1a,3a,4a,7a,13a,19a,21a,22a,27a,29a,33a,38a,40a,43a,44a,49a,51a,55a,57a,58a,60a,62a,66a,67a,69a,70a,72a,73a,77a,81a,84a,88a,,,,,
