participantNumber,TrialNumber,WorkloadCondition,SystemDate,SystemTime,MissionTime,TaskType,UAVNumber,MessageTime,MessageFrom,MessageResponseRequested,MessageContent,MessageCorrectAnswer,MessageAnswerAccuracy,MessageResponseTime,FLPlannedStartTime,FLRealStartTime,FLStopSystemTime,FLStopTime,FLResponseTime,FLAccuracy,TDWaypointOrder,TDWaypointLocation,TDTargetPresent,TDTargetSpawnTime,TDFinalInput,TDRespone,TDButtonClickTime,TDResponseTimestamp,TDResponseTime,RRTimePlanProjNFZ,RRTimeProjNFZ,RRTimeofRR,RRFinalInput,RRSuccessfulRR,RRResponseTime,Score,HighestPossibleScore
227,1,G,3/12/2020,32:10.1,0,TargetDetection,15,,,,,,,,,,,,,,0,11,0,,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,32:10.1,0,TargetDetection,10,,,,,,,,,,,,,,0,14,1,8,1,TP,6.650683,6.523659,4.523659,,,,,,,100,100
227,1,G,3/12/2020,32:10.1,0,TargetDetection,3,,,,,,,,,,,,,,0,12,0,,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,32:20.3,10.13537,TargetDetection,1,,,,,,,,,,,,,,1,2,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,32:20.3,10.13537,TargetDetection,7,,,,,,,,,,,,,,1,15,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,32:20.3,10.13537,TargetDetection,9,,,,,,,,,,,,,,1,4,1,7,1,TP,19.68966,9.176755,6.176755,,,,,,,100,100
227,1,G,3/12/2020,32:20.3,10.13537,TargetDetection,10,,,,,,,,,,,,,,1,11,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,32:10.2,0.02,ChatMessage,,0.02,HQ,0,[0:00] HQ: Beginning Mission,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1,G,3/12/2020,32:32.2,22.00386,ChatMessage,,22.00386,HQ,1,[0:22] HQ: Detecting an active RR- Respond (Confirm/Deny),Deny,,,,,,,,,,,,,,,,,,,,,,,,,
227,1,G,3/12/2020,32:36.2,25.98545,ChatMessage,,25.98545,user,,[0:25] You: Deny,,1,3.981596,,,,,,,,,,,,,,,,,,,,,,30,30
227,1,G,3/12/2020,32:30.2,20.01215,TargetDetection,2,,,,,,,,,,,,,,2,2,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,32:30.3,20.04433,TargetDetection,13,,,,,,,,,,,,,,2,10,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,32:30.2,20.01215,TargetDetection,4,,,,,,,,,,,,,,2,11,1,8,1,TP,28.40146,7.882034,5.882034,,,,,,,100,100
