participantNumber,TrialNumber,WorkloadCondition,SystemDate,SystemTime,MissionTime,TaskType,UAVNumber,MessageTime,MessageFrom,MessageResponseRequested,MessageContent,MessageCorrectAnswer,MessageAnswerAccuracy,MessageResponseTime,FLPlannedStartTime,FLRealStartTime,FLStopSystemTime,FLStopTime,FLResponseTime,FLAccuracy,TDWaypointOrder,TDWaypointLocation,TDTargetPresent,TDTargetSpawnTime,TDFinalInput,TDRespone,TDButtonClickTime,TDResponseTimestamp,TDResponseTime,RRTimePlanProjNFZ,RRTimeProjNFZ,RRTimeofRR,RRFinalInput,RRSuccessfulRR,RRResponseTime,Score,HighestPossibleScore
113,T,Training,03/05/2020,10:24:00.19,0,TargetDetection,13,,,,,,,,,,,,,,0,5,1,,1,FN,,,,,,,,,,-100,50
113,T,Training,03/05/2020,10:24:00.19,0,TargetDetection,12,,,,,,,,,,,,,,0,2,0,,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:00.19,0,TargetDetection,4,,,,,,,,,,,,,,0,7,0,,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:00.19,0,TargetDetection,2,,,,,,,,,,,,,,0,4,0,,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:00.19,0,TargetDetection,10,,,,,,,,,,,,,,0,14,1,5,1,TP,9.2154,8.703699,3.703699,,,,,,,100,100
113,T,Training,03/05/2020,10:24:00.19,0,TargetDetection,6,,,,,,,,,,,,,,0,1,0,,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:00.19,0,TargetDetection,16,,,,,,,,,,,,,,0,15,0,,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:00.33,0.02,ChatMessage,,0.02,HQ,0,[0:00] HQ: Beginning Mission,,,,,,,,,,,,,,,,,,,,,,,,,,
113,T,Training,03/05/2020,10:24:10.45,10.14614,TargetDetection,15,,,,,,,,,,,,,,1,7,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:10.45,10.14614,TargetDetection,14,,,,,,,,,,,,,,1,6,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:10.45,10.14614,TargetDetection,1,,,,,,,,,,,,,,1,2,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:10.45,10.14614,TargetDetection,11,,,,,,,,,,,,,,1,11,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:10.45,10.14614,TargetDetection,7,,,,,,,,,,,,,,1,15,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:10.46,10.14614,TargetDetection,5,,,,,,,,,,,,,,1,5,1,4,1,TP,19.99813,9.893175,3.893175,,,,,,,100,100
113,T,Training,03/05/2020,10:24:10.46,10.14614,TargetDetection,3,,,,,,,,,,,,,,1,8,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:20.34,20.01687,TargetDetection,11,,,,,,,,,,,,,,2,15,1,4,1,FN,,,,,,,,,,-100,50
113,T,Training,03/05/2020,10:24:20.34,20.01687,TargetDetection,7,,,,,,,,,,,,,,2,14,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:20.34,20.01687,TargetDetection,2,,,,,,,,,,,,,,2,2,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:20.34,20.01687,TargetDetection,3,,,,,,,,,,,,,,2,4,1,6,1,TP,28.62328,7.510436,3.510436,,,,,,,100,100
113,T,Training,03/05/2020,10:24:20.36,20.05542,TargetDetection,13,,,,,,,,,,,,,,2,10,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:20.36,20.05542,TargetDetection,16,,,,,,,,,,,,,,2,10,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:20.30,19.99813,TargetDetection,8,,,,,,,,,,,,,,2,6,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:30.36,30.05155,TargetDetection,4,,,,,,,,,,,,,,3,10,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:30.34,30.01188,TargetDetection,12,,,,,,,,,,,,,,3,9,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:30.34,30.01188,TargetDetection,14,,,,,,,,,,,,,,3,8,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:30.30,29.99115,TargetDetection,2,,,,,,,,,,,,,,3,1,1,7,1,FN,,,,,,,,,,-100,50
113,T,Training,03/05/2020,10:24:30.28,29.97213,TargetDetection,10,,,,,,,,,,,,,,3,4,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:30.30,29.99115,TargetDetection,5,,,,,,,,,,,,,,3,2,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:30.38,30.07309,TargetDetection,9,,,,,,,,,,,,,,3,12,1,6,1,TP,37.18063,7.066311,3.066311,,,,,,,100,100
113,T,Training,03/05/2020,10:24:30.36,30.05155,TargetDetection,8,,,,,,,,,,,,,,3,10,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:15.31,15.00272,ChatMessage,,15.00272,HQ,1,[0:15] HQ: Detected targets in mission - Respond (Confirm/Deny),Confirm,,,,,,,,,,,,,,,,,,,,,,,,,
113,T,Training,03/05/2020,10:24:45.44,45.14283,ChatMessage,,45.14283,user,,[0:45] You: Confirm,,1,30.14011,,,,,,,,,,,,,,,,,,,,,,30,30
113,T,Training,03/05/2020,10:24:36.32,36.00657,FuelLeak,16,,,,,,,,36,36.00657,,,,0,,,,,,,,,,,,,,,,-100,30
113,T,Training,03/05/2020,10:24:40.33,40.007,TargetDetection,6,,,,,,,,,,,,,,4,1,1,5,1,FN,,,,,,,,,,-100,50
113,T,Training,03/05/2020,10:24:40.29,39.9847,TargetDetection,1,,,,,,,,,,,,,,4,8,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:40.33,40.007,TargetDetection,13,,,,,,,,,,,,,,4,15,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:40.33,40.007,TargetDetection,11,,,,,,,,,,,,,,4,12,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:40.33,40.007,TargetDetection,7,,,,,,,,,,,,,,4,9,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:40.29,39.9847,TargetDetection,14,,,,,,,,,,,,,,4,4,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:40.27,39.96511,TargetDetection,4,,,,,,,,,,,,,,4,3,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:55.32,55.01216,ChatMessage,,55.01216,HQ,1,[0:55] HQ: Is the mission over? - Respond (Yes/No),No,,,,,,,,,,,,,,,,,,,,,,,,,
113,T,Training,03/05/2020,10:24:59.02,58.72382,ChatMessage,,58.72382,user,,[0:58] You: No,,1,3.711666,,,,,,,,,,,,,,,,,,,,,,30,30
113,T,Training,03/05/2020,10:24:50.27,49.96608,TargetDetection,9,,,,,,,,,,,,,,5,3,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:50.33,50.00756,TargetDetection,5,,,,,,,,,,,,,,5,10,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:50.33,50.00756,TargetDetection,3,,,,,,,,,,,,,,5,11,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:50.33,50.00756,TargetDetection,1,,,,,,,,,,,,,,5,7,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:50.33,50.00756,TargetDetection,15,,,,,,,,,,,,,,5,4,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:50.33,50.00756,TargetDetection,12,,,,,,,,,,,,,,5,14,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:50.33,50.00756,TargetDetection,7,,,,,,,,,,,,,,5,5,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:24:50.35,50.04515,TargetDetection,16,,,,,,,,,,,,,,5,11,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:00.30,59.99768,TargetDetection,11,,,,,,,,,,,,,,6,4,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:00.35,60.02009,TargetDetection,7,,,,,,,,,,,,,,6,1,1,6,1,TP,69.16813,9.064151,5.064151,,,,,,,100,100
113,T,Training,03/05/2020,10:25:00.35,60.02009,TargetDetection,2,,,,,,,,,,,,,,6,7,1,7,1,TP,66.98492,7.873527,4.873527,,,,,,,100,100
113,T,Training,03/05/2020,10:25:00.30,59.99768,TargetDetection,5,,,,,,,,,,,,,,6,14,1,4,1,FN,,,,,,,,,,-100,50
113,T,Training,03/05/2020,10:25:00.30,59.99768,TargetDetection,13,,,,,,,,,,,,,,6,12,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:00.35,60.02009,TargetDetection,15,,,,,,,,,,,,,,6,8,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:00.37,60.06166,TargetDetection,4,,,,,,,,,,,,,,6,4,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:00.35,60.02009,TargetDetection,14,,,,,,,,,,,,,,6,3,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:00.37,60.06166,TargetDetection,10,,,,,,,,,,,,,,6,5,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:10.30,69.99728,TargetDetection,2,,,,,,,,,,,,,,7,8,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:10.34,70.01973,TargetDetection,13,,,,,,,,,,,,,,7,11,1,6,1,FN,,,,,,,,,,-100,50
113,T,Training,03/05/2020,10:25:10.30,69.99728,TargetDetection,5,,,,,,,,,,,,,,7,15,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:10.30,69.99728,TargetDetection,6,,,,,,,,,,,,,,7,7,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:10.34,70.01973,TargetDetection,16,,,,,,,,,,,,,,7,5,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:10.30,69.99728,TargetDetection,3,,,,,,,,,,,,,,7,14,1,6,1,FN,,,,,,,,,,-100,50
113,T,Training,03/05/2020,10:25:10.36,70.05825,TargetDetection,10,,,,,,,,,,,,,,7,1,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:28.33,88.0118,FuelLeak,9,,,,,,,,88,88.0118,10:25:30.11,89.80891,1.797112,1,,,,,,,,,,,,,,,,30,30
113,T,Training,03/05/2020,10:25:20.35,80.0493,TargetDetection,4,,,,,,,,,,,,,,8,2,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:20.33,80.00877,TargetDetection,11,,,,,,,,,,,,,,8,2,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:20.29,79.98396,TargetDetection,15,,,,,,,,,,,,,,8,16,1,6,1,FN,,,,,,,,,,-100,50
113,T,Training,03/05/2020,10:25:20.33,80.00877,TargetDetection,7,,,,,,,,,,,,,,8,3,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:20.29,79.98396,TargetDetection,1,,,,,,,,,,,,,,8,9,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:20.29,79.98396,TargetDetection,12,,,,,,,,,,,,,,8,7,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:20.37,80.07004,TargetDetection,14,,,,,,,,,,,,,,8,9,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:10.34,70.01973,Reroute,16,,,,,,,,,,,,,,,,,,,,,,,70,70.01973,82.68498,1,1,12.66525,30,30
113,T,Training,03/05/2020,10:25:20.33,80.00877,TargetDetection,9,,,,,,,,,,,,,,8,11,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:30.29,89.98299,TargetDetection,11,,,,,,,,,,,,,,9,1,1,4,1,TP,97.45715,7.45529,1.45529,,,,,,,100,100
113,T,Training,03/05/2020,10:25:30.33,90.00187,TargetDetection,3,,,,,,,,,,,,,,9,6,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:30.32,90.00187,TargetDetection,1,,,,,,,,,,,,,,9,10,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:30.32,90.00187,TargetDetection,13,,,,,,,,,,,,,,9,14,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:30.32,90.00187,TargetDetection,2,,,,,,,,,,,,,,9,11,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:30.32,90.00187,TargetDetection,14,,,,,,,,,,,,,,9,10,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:30.29,89.98299,TargetDetection,8,,,,,,,,,,,,,,9,9,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:40.35,100.0436,TargetDetection,4,,,,,,,,,,,,,,10,4,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:40.33,100.0081,TargetDetection,15,,,,,,,,,,,,,,10,14,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:40.33,100.0081,TargetDetection,2,,,,,,,,,,,,,,10,10,1,7,1,TP,108.9137,8.808487,5.808487,,,,,,,100,100
113,T,Training,03/05/2020,10:25:40.29,99.98703,TargetDetection,5,,,,,,,,,,,,,,10,3,1,4,1,FN,,,,,,,,,,-100,50
113,T,Training,03/05/2020,10:25:40.33,100.0081,TargetDetection,6,,,,,,,,,,,,,,10,16,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:40.33,100.0081,TargetDetection,12,,,,,,,,,,,,,,10,4,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:40.29,99.98703,TargetDetection,7,,,,,,,,,,,,,,10,8,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:40.33,100.0081,TargetDetection,10,,,,,,,,,,,,,,10,16,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:40.35,100.0436,TargetDetection,14,,,,,,,,,,,,,,10,9,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:51.33,111.0033,FuelLeak,4,,,,,,,,111,111.0033,10:25:55.93,115.634,4.630737,1,,,,,,,,,,,,,,,,30,30
113,T,Training,03/05/2020,10:25:50.30,109.9955,TargetDetection,1,,,,,,,,,,,,,,11,12,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:50.34,110.017,TargetDetection,9,,,,,,,,,,,,,,11,8,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:50.36,110.0563,TargetDetection,13,,,,,,,,,,,,,,11,11,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:50.34,110.017,TargetDetection,11,,,,,,,,,,,,,,11,6,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:50.34,110.017,TargetDetection,7,,,,,,,,,,,,,,11,7,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:50.36,110.0563,TargetDetection,14,,,,,,,,,,,,,,11,5,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:50.30,109.9955,TargetDetection,3,,,,,,,,,,,,,,11,1,0,NA,1,TN,,,,,,,,,,50,50
113,T,Training,03/05/2020,10:25:50.28,109.9753,TargetDetection,4,,,,,,,,,,,,,,11,11,0,NA,1,TN,,,,,,,,,,50,50
